timestamp,unique_devices,total_probes,cache_size,filtered_pct
2026-09-18T18:14:18.919637299Z,2,7,2,71.43
2026-09-18T18:14:29.863351797Z,3,8,3,62.50
2026-09-18T18:14:40.103338720Z,3,8,2,62.50
2026-09-18T18:14:51.047328345Z,4,10,3,60.00
2026-09-18T18:15:01.479345174Z,7,36,6,80.56
2026-09-18T18:15:11.720237064Z,7,36,4,80.56
2026-09-18T18:15:21.895366627Z,8,39,5,79.49
2026-09-18T18:15:32.327619218Z,9,40,6,77.50
2026-09-18T18:15:42.567261659Z,9,40,2,77.50
2026-09-18T18:15:52.807402890Z,9,40,2,77.50
2026-09-18T18:16:03.815356362Z,10,42,3,76.19
2026-09-18T18:16:14.055352941Z,10,42,1,76.19
2026-09-18T18:16:24.295273900Z,10,42,1,76.19
2026-09-18T18:16:34.663197852Z,11,44,1,75.00
2026-09-18T18:16:44.711242721Z,12,47,2,74.47
2026-09-18T18:16:54.951270627Z,12,47,2,74.47
2026-09-18T18:17:05.703352507Z,15,58,4,74.14
2026-09-18T18:17:15.943370026Z,15,58,3,74.14
2026-09-18T18:17:25.991254861Z,17,72,5,76.39
2026-09-18T18:17:36.231309459Z,17,72,5,76.39
2026-09-18T18:17:46.983375500Z,20,87,5,77.01
2026-09-18T18:17:57.095305900Z,21,89,6,76.40
2026-09-18T18:18:07.335355338Z,21,89,6,76.40
2026-09-18T18:18:17.959339787Z,23,96,5,76.04
2026-09-18T18:18:28.135257803Z,25,118,7,78.81
2026-09-18T18:18:38.375205523Z,25,118,7,78.81
2026-09-18T18:18:49.319351835Z,29,133,6,78.20
2026-09-18T18:18:59.559307131Z,29,133,6,78.20
2026-09-18T18:19:10.503343537Z,31,142,8,78.17
2026-09-18T18:19:20.743379015Z,32,147,4,78.23
2026-09-18T18:19:31.303206617Z,35,160,7,78.13
2026-09-18T18:19:41.543278468Z,35,160,7,78.13
2026-09-18T18:19:52.423282272Z,38,171,6,77.78
2026-09-18T18:20:02.663196865Z,38,171,6,77.78
2026-09-18T18:20:13.607288558Z,40,178,8,77.53
2026-09-22T12:33:42.092623198Z,4,6,4,33.33
2026-09-22T12:33:52.332582498Z,4,6,4,33.33
2026-09-22T12:34:02.572560006Z,4,6,4,33.33
2026-09-22T12:34:12.812475391Z,4,6,0,33.33
2026-09-22T13:12:06.604632587Z,3,5,3,40.00
2026-09-22T13:12:37.964973427Z,0,0,0,0.00
